75,1280,"{17.0, 52.0, 13.0}"
46,1556,"{66.0, 8.0, 13.0, 17.0, 54.0, 62.0}"
139,1163,"{66.0, 13.0, 77.0, 98.0}"
48,1540,"{66.0, 13.0, 16.0, 17.0, 54.0, 62.0}"
2,1346,"{9.0, 51.0}"
143,1284,"{98.0, 13.0, 55.0}"
87,2381,{67.0}
50,1105,"{66.0, 13.0, 14.0, 17.0, 62.0}"
144,2397,"{99.0, 75.0, 13.0, 80.0, 81.0}"
3,1750,"{8.0, 51.0}"
51,1278,"{17.0, 66.0, 11.0, 13.0}"
145,1910,"{98.0, 99.0, 75.0, 13.0, 80.0, 83.0}"
4,1150,{11.0}
104,1920,"{90.0, 75.0, 84.0, 58.0}"
52,1365,"{66.0, 11.0, 13.0, 14.0, 17.0}"
147,1944,"{9.0, 58.0, 99.0, 37.0}"
11,1245,"{48.0, 11.0}"
105,1293,"{9.0, 90.0, 75.0}"
53,1479,"{66.0, 11.0, 13.0, 17.0, 57.0}"
154,1279,"{80.0, 75.0, 98.0, 83.0}"
12,1245,"{11.0, 47.0}"
106,1092,"{80.0, 75.0, 83.0}"
54,1412,"{66.0, 73.0, 11.0, 13.0, 17.0}"
156,1182,"{80.0, 43.0, 26.0, 75.0}"
14,706,{8.0}
107,1018,"{80.0, 75.0}"
55,1412,"{66.0, 11.0, 13.0, 17.0, 52.0}"
17,754,{48.0}
108,1330,"{16.0, 54.0, 86.0}"
57,1412,"{66.0, 11.0, 75.0, 13.0, 17.0}"
18,706,{54.0}
110,685,{26.0}
59,976,"{66.0, 13.0, 77.0}"
117,917,{98.0}
61,1106,"{17.0, 13.0, 55.0}"
22,802,{55.0}
119,1162,"{11.0, 43.0}"
62,1094,"{13.0, 14.0, 55.0}"
25,706,{73.0}
122,1202,"{98.0, 55.0}"
63,1312,"{75.0, 13.0, 78.0}"
26,654,{57.0}
124,1124,"{98.0, 59.0}"
64,1901,"{75.0, 13.0, 78.0, 80.0, 81.0}"
28,802,{59.0}
126,1112,"{66.0, 13.0, 98.0}"
65,1587,"{75.0, 13.0, 78.0, 80.0, 83.0}"
29,742,{47.0}
128,2260,"{66.0, 98.0, 68.0, 71.0, 13.0, 17.0}"
66,1342,"{58.0, 75.0, 13.0, 78.0}"
32,846,{14.0}
129,1629,"{66.0, 98.0, 13.0, 17.0, 86.0}"
68,1604,"{56.0, 9.0, 58.0, 78.0}"
36,1753,"{66.0, 68.0, 71.0, 13.0, 17.0, 62.0}"
132,1908,"{40.0, 56.0}"
71,1588,"{37.0, 9.0, 13.0, 78.0, 58.0}"
40,2028,"{40.0, 56.0, 62.0}"
133,2476,"{66.0, 38.0, 8.0, 13.0, 17.0, 18.0, 19.0, 54.0}"
72,1564,"{9.0, 58.0, 13.0, 78.0}"
42,2106,"{66.0, 38.0, 13.0, 17.0, 18.0, 19.0, 54.0, 62.0}"
135,1409,"{66.0, 43.0, 13.0, 14.0, 17.0}"
73,1320,"{9.0, 84.0, 13.0, 78.0}"
44,2106,"{66.0, 13.0, 17.0, 18.0, 19.0, 54.0, 56.0, 62.0}"
136,1333,"{66.0, 11.0, 43.0, 13.0, 17.0}"
74,896,"{56.0, 13.0}"
45,2469,"{66.0, 67.0, 8.0, 13.0, 17.0, 18.0, 19.0, 54.0, 62.0}"
137,1624,"{66.0, 98.0, 11.0, 13.0, 17.0}"
new component
19,754,{28.0}
95,2792,{50.0}
79,3177,"{50.0, 28.0}"
new component
