42,2106,"{106.0, 7.0}"
25,706,{67.0}
12,1245,"{26.0, 131.0, 135.0}"
26,654,{68.0}
28,802,{0.0}
4,1150,"{131.0, 135.0}"
71,1588,{105.0}
159,16772,"{132.0, 107.0, 78.0, 112.0, 20.0, 26.0}"
17,754,{25.0}
156,1182,"{77.0, 22.0, 111.0}"
90,2676,"{65.0, 97.0, 100.0, 36.0, 81.0, 63.0}"
154,1279,"{83.0, 77.0, 22.0}"
148,2387,"{97.0, 100.0, 5.0}"
94,3205,"{65.0, 97.0, 100.0, 36.0, 81.0, 89.0, 26.0, 63.0}"
92,3580,"{65.0, 97.0, 100.0, 36.0, 71.0, 81.0, 62.0, 63.0}"
86,2381,"{65.0, 97.0, 100.0, 36.0, 7.0, 63.0}"
32,846,{126.0}
124,1124,"{0.0, 126.0}"
93,3922,"{65.0, 36.0, 81.0, 88.0, 62.0, 63.0}"
144,2397,"{3.0, 28.0, 77.0, 22.0}"
99,3147,"{65.0, 130.0, 36.0, 61.0, 63.0}"
79,3177,"{88.0, 65.0, 36.0, 63.0}"
11,1245,"{25.0, 131.0, 135.0}"
117,917,"{123.0, 126.0}"
145,1910,"{83.0, 28.0, 77.0, 22.0}"
97,2792,"{65.0, 130.0, 36.0, 87.0, 63.0}"
136,1333,"{139.0, 111.0}"
64,1901,"{3.0, 77.0, 22.0}"
108,1330,"{5.0, 7.0}"
106,1092,"{83.0, 77.0}"
102,3382,"{65.0, 130.0, 97.0, 100.0, 36.0, 106.0, 63.0}"
21,630,{78.0}
53,1479,"{139.0, 68.0}"
103,2152,"{65.0, 61.0, 63.0}"
119,1162,"{123.0, 126.0, 111.0}"
85,2381,"{65.0, 67.0, 36.0, 63.0}"
150,1900,"{97.0, 100.0, 111.0}"
54,1412,"{67.0, 139.0}"
95,2792,"{65.0, 36.0, 81.0, 87.0, 63.0}"
98,2756,"{65.0, 130.0, 97.0, 100.0, 36.0, 86.0, 63.0}"
87,2381,"{65.0, 36.0, 63.0, 71.0}"
80,2392,"{65.0, 97.0, 100.0, 36.0, 89.0, 63.0}"
78,1742,"{65.0, 100.0, 97.0, 63.0}"
29,742,{26.0}
107,1018,"{65.0, 77.0}"
57,1412,"{139.0, 22.0}"
160,9581,"{107.0, 112.0, 20.0, 86.0, 89.0}"
84,2336,"{65.0, 97.0, 100.0, 36.0, 68.0, 63.0}"
23,706,{77.0}
157,8984,{132.0}
9,1510,"{27.0, 131.0, 135.0}"
30,754,{27.0}
100,2799,"{65.0, 130.0, 97.0, 100.0, 36.0, 27.0, 63.0}"
147,1944,"{105.0, 28.0}"
new component
