156,1182,"{49.0, 18.0}"
105,1293,"{33.0, 19.0, 86.0}"
44,2106,"{82.0, 36.0, 84.0}"
107,1018,"{49.0, 19.0}"
2,1346,"{35.0, 86.0}"
18,706,{9.0}
104,1920,"{33.0, 2.0, 19.0, 37.0}"
74,896,{37.0}
147,1944,"{37.0, 85.0, 23.0}"
66,1342,"{25.0, 18.0, 37.0}"
73,1320,"{25.0, 2.0, 85.0}"
65,1587,"{49.0, 18.0, 25.0, 47.0}"
23,706,{49.0}
64,1901,"{49.0, 18.0, 3.0, 25.0}"
63,1312,"{25.0, 18.0}"
3,1750,"{35.0, 84.0}"
106,1092,"{49.0, 19.0, 47.0}"
154,1279,"{49.0, 18.0, 71.0, 47.0}"
145,1910,"{71.0, 47.0, 49.0, 18.0, 23.0}"
144,2397,"{49.0, 18.0, 3.0, 23.0}"
132,1908,{36.0}
153,1983,"{33.0, 2.0, 18.0, 37.0}"
133,2476,"{9.0, 82.0, 84.0}"
72,1564,"{25.0, 37.0, 85.0}"
new component
143,1284,"{1.0, 77.0}"
75,1280,"{12.0, 15.0}"
11,1245,"{101.0, 22.0}"
126,1112,{77.0}
6,1436,"{101.0, 15.0}"
36,1753,"{14.0, 7.0}"
4,1150,{101.0}
29,742,{22.0}
22,802,{1.0}
108,1330,{6.0}
129,1629,"{77.0, 6.0}"
128,2260,"{12.0, 77.0, 14.0, 7.0}"
new component
