104,1920,"{8.0, 72.0, 120.0, 61.0}"
108,1330,"{64.0, 12.0}"
149,2217,"{2.0, 12.0, 78.0, 79.0}"
29,742,{74.0}
154,1279,"{3.0, 106.0, 79.0, 89.0, 61.0}"
105,1293,"{8.0, 61.0}"
98,2756,{121.0}
130,1759,"{4.0, 12.0}"
22,802,{7.0}
139,1163,"{3.0, 4.0}"
53,1479,"{104.0, 86.0, 70.0}"
28,802,{6.0}
144,2397,"{89.0, 61.0, 108.0, 13.0}"
55,1412,"{104.0, 129.0, 86.0}"
32,846,{92.0}
143,1284,"{1.0, 7.0}"
75,1280,"{129.0, 59.0}"
148,2387,"{1.0, 12.0, 78.0, 79.0}"
36,1753,"{26.0, 67.0}"
2,1346,{95.0}
160,9581,"{34.0, 133.0, 10.0, 47.0, 52.0, 121.0}"
106,1092,"{89.0, 106.0, 61.0}"
114,473,"{120.0, 50.0, 99.0}"
136,1333,"{104.0, 51.0}"
151,2490,"{3.0, 102.0, 77.0, 78.0, 79.0}"
156,1182,"{78.0, 79.0, 51.0, 89.0, 61.0}"
26,654,{70.0}
147,1944,"{108.0, 45.0}"
35,1776,"{26.0, 67.0, 55.0}"
107,1018,"{89.0, 61.0}"
159,16772,"{1.0, 133.0, 10.0, 74.0, 47.0, 52.0, 27.0, 126.0}"
150,1900,"{51.0, 77.0, 78.0, 79.0}"
115,332,"{50.0, 99.0}"
157,8984,{27.0}
120,1644,"{3.0, 91.0, 92.0, 93.0, 94.0}"
57,1412,"{104.0, 61.0, 86.0}"
119,1162,"{91.0, 51.0, 92.0, 93.0}"
25,706,{131.0}
128,2260,"{67.0, 5.0, 86.0, 26.0, 59.0}"
80,2392,{34.0}
145,1910,"{3.0, 106.0, 108.0, 89.0, 61.0}"
56,1412,"{104.0, 86.0, 102.0}"
54,1412,"{104.0, 131.0, 86.0}"
124,1124,"{2.0, 92.0, 6.0}"
153,1983,"{8.0, 72.0, 61.0, 79.0}"
62,1094,"{64.0, 7.0}"
117,917,"{3.0, 92.0, 93.0}"
137,1624,"{104.0, 3.0, 102.0}"
110,685,{78.0}
3,1750,"{95.0, 55.0}"
71,1588,{45.0}
5,1584,{94.0}
64,1901,"{89.0, 61.0, 13.0}"
20,802,{8.0}
73,1320,{72.0}
21,630,{126.0}
23,706,{133.0}
59,976,"{4.0, 86.0}"
129,1629,"{12.0, 5.0}"
122,1202,"{3.0, 92.0, 7.0}"
new component
14,706,{101.0}
52,1365,"{113.0, 101.0}"
51,1278,{113.0}
new component
