127,2868,"{8.0, 5.0, 6.0}"
89,6190,"{5.0, 6.0, 8.0, 9.0, 51.0, 58.0}"
131,3072,"{8.0, 58.0, 6.0}"
140,2781,"{9.0, 10.0, 49.0}"
88,6769,"{5.0, 6.0, 8.0, 9.0, 10.0, 51.0, 58.0}"
139,1530,{49.0}
134,2664,{9.0}
new component
41,12609,"{34.0, 22.0}"
52,25875,"{24.0, 22.0}"
35,1799,{22.0}
48,38287,"{24.0, 34.0, 22.0}"
new component
15,23443,{19.0}
7,27937,"{41.0, 19.0}"
18,23443,"{74.0, 3.0}"
19,27937,"{74.0, 19.0}"
6,19458,"{41.0, 3.0}"
5,18385,{41.0}
30,6441,{74.0}
new component
